,plotID,longitude,latitude,collectYear,collectDOY,soil_pH,soil_moisture,temp_celsius,precip_mm,temp_seasonality,precip_seasonality,fungal_diversity,domain,site,collectDate,shannon_diversity
60,HARV_037,-72.179312,42.537308,2016,215,3.12,0.909,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,19,Northeast,HARV,2016-08-02,0.6082146243095498
61,HARV_034,-72.177968,42.535686,2016,215,2.8,0.6609999999999999,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,24,Northeast,HARV,2016-08-02,2.147366133663361
62,HARV_034,-72.177968,42.535686,2016,215,2.52,0.868,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,16,Northeast,HARV,2016-08-02,1.597433031195708
63,HARV_020,-72.22887800000001,42.436766999999996,2016,224,4.4,0.887,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,4,Northeast,HARV,2016-08-11,1.279110062953209
64,HARV_020,-72.22887800000001,42.436766999999996,2016,224,3.88,0.401,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,10,Northeast,HARV,2016-08-11,1.018735431791517
65,STEI_003,-90.07260699999999,45.824940000000005,2016,118,4.45,0.28,4.148387097,810.8951613,111.0433871,44.25,6,Great Lakes,STEI,2016-04-27,1.4712532957447813
66,STEI_060,-89.58706,45.506757,2016,127,3.45,1.251,4.148387097,810.8951613,111.0433871,44.25,21,Great Lakes,STEI,2016-05-06,1.933834119746603
67,STEI_060,-89.58706,45.506757,2016,127,3.63,0.938,4.148387097,810.8951613,111.0433871,44.25,18,Great Lakes,STEI,2016-05-06,1.8209551520099931
68,STEI_001,-90.092743,45.812246,2016,202,4.95,0.727,4.148387097,810.8951613,111.0433871,44.25,18,Great Lakes,STEI,2016-07-20,1.351955763676436
69,STEI_003,-90.07260699999999,45.824940000000005,2016,202,4.17,1.193,4.148387097,810.8951613,111.0433871,44.25,9,Great Lakes,STEI,2016-07-20,0.39282502507219036
70,STEI_059,-89.588327,45.508883000000004,2016,202,3.04,1.112,4.148387097,810.8951613,111.0433871,44.25,4,Great Lakes,STEI,2016-07-20,0.9660526769768338
71,STEI_008,-90.06210899999999,45.802505,2016,203,4.02,0.594,4.148387097,810.8951613,111.0433871,44.25,10,Great Lakes,STEI,2016-07-21,1.2284467564350459
72,TREE_001,-89.56988100000001,45.487728999999995,2016,119,3.86,1.071,4.5,808.0,110.84,44.0,14,Great Lakes,TREE,2016-04-28,1.0707000703209837
73,TREE_014,-89.569452,45.486646,2016,200,3.93,0.799,4.5,808.0,110.84,44.0,22,Great Lakes,TREE,2016-07-18,2.016009765508755
74,UNDE_008,-89.515052,46.256192999999996,2016,138,4.33,0.3,3.7,849.7752809,108.8970787,36.95505618,6,Great Lakes,UNDE,2016-05-17,1.5418608677631476
75,BART_040,-71.29199,44.06576,2016,109,2.73,3.673,4.8,1300.0,96.58,10.0,2,Northeast,BART,2016-04-18,0.6931471805599453
76,BART_040,-71.29199,44.06576,2016,109,2.9,2.571,4.8,1300.0,96.58,10.0,9,Northeast,BART,2016-04-18,1.4243455963319773
77,BART_040,-71.29199,44.06576,2016,109,2.98,2.884,4.8,1300.0,96.58,10.0,14,Northeast,BART,2016-04-18,1.530406468815197
78,BART_071,-71.290624,44.067944,2016,109,2.81,2.752,4.8,1300.0,96.58,10.0,9,Northeast,BART,2016-04-18,1.769154398302233
79,BART_071,-71.290624,44.067944,2016,109,2.62,1.895,4.8,1300.0,96.58,10.0,12,Northeast,BART,2016-04-18,1.2947151216036064
80,BART_001,-71.306661,44.047079,2016,110,4.65,1.93,4.8,1300.0,96.58,10.0,11,Northeast,BART,2016-04-19,1.2058139715863998
81,BART_001,-71.306661,44.047079,2016,110,3.12,2.63,4.8,1300.0,96.58,10.0,18,Northeast,BART,2016-04-19,1.5011471986516496
82,BART_004,-71.28692,44.041571000000005,2016,110,3.01,2.7880000000000003,4.8,1300.0,96.58,10.0,29,Northeast,BART,2016-04-19,1.1489087974824828
83,BART_024,-71.26378199999999,44.052777,2016,111,2.54,2.086,4.8,1300.0,96.58,10.0,29,Northeast,BART,2016-04-20,2.093333590435951
84,BART_036,-71.285878,44.062082000000004,2016,116,2.86,1.804,4.8,1300.0,96.58,10.0,18,Northeast,BART,2016-04-25,0.5077905605872114
85,BART_036,-71.285878,44.062082000000004,2016,116,2.8,2.318,4.8,1300.0,96.58,10.0,14,Northeast,BART,2016-04-25,1.45872211612693
86,BART_003,-71.26314599999999,44.055246999999994,2016,116,4.1,1.16,4.8,1300.0,96.58,10.0,13,Northeast,BART,2016-04-25,1.964206930352641
87,BART_003,-71.26314599999999,44.055246999999994,2016,116,3.95,1.564,4.8,1300.0,96.58,10.0,21,Northeast,BART,2016-04-25,1.4929434813644908
